"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP043.32","SeuratProject",1182,548,0.036036036036036,"Singlet","12","12"
"HIP043.34","SeuratProject",1048,560,0.027027027027027,"Singlet","4","4"
"HIP043.35","SeuratProject",1104,557,0.018018018018018,"Singlet","2","2"
"HIP043.37","SeuratProject",1314,553,0,"Singlet","2","2"
"HIP043.38","SeuratProject",1022,570,0.00900900900900901,"Singlet","2","2"
"HIP043.40","SeuratProject",1018,563,0.0720720720720721,"Singlet","4","4"
"HIP043.41","SeuratProject",1240,570,0,"Singlet","1","1"
"HIP043.42","SeuratProject",1066,572,0.0720720720720721,"Singlet","4","4"
"HIP043.43","SeuratProject",2051,574,0.045045045045045,"Singlet","4","4"
"HIP043.47","SeuratProject",1025,577,0,"Singlet","0","0"
"HIP043.49","SeuratProject",1060,576,0,"Singlet","0","0"
"HIP043.51","SeuratProject",1311,569,0,"Singlet","1","1"
"HIP043.52","SeuratProject",1074,582,0.108108108108108,"Singlet","4","4"
"HIP043.54","SeuratProject",1067,583,0.045045045045045,"Singlet","4","4"
"HIP043.58","SeuratProject",1170,580,0.018018018018018,"Singlet","0","0"
"HIP043.60","SeuratProject",1021,582,0.00900900900900901,"Singlet","4","4"
"HIP043.61","SeuratProject",1048,569,0.027027027027027,"Singlet","4","4"
"HIP043.63","SeuratProject",1060,561,0.00900900900900901,"Singlet","1","1"
"HIP043.65","SeuratProject",1139,585,0.018018018018018,"Singlet","2","2"
"HIP043.66","SeuratProject",1200,589,0.153153153153153,"Singlet","4","4"
"HIP043.67","SeuratProject",1033,586,0,"Singlet","1","1"
"HIP043.68","SeuratProject",1110,587,0.027027027027027,"Singlet","4","4"
"HIP043.69","SeuratProject",1008,585,0.0540540540540541,"Singlet","4","4"
"HIP043.70","SeuratProject",1054,589,0.0720720720720721,"Singlet","4","4"
"HIP043.71","SeuratProject",1105,592,0,"Singlet","2","2"
"HIP043.72","SeuratProject",1158,592,0.00900900900900901,"Singlet","1","1"
"HIP043.74","SeuratProject",1025,592,0.018018018018018,"Singlet","0","0"
"HIP043.75","SeuratProject",1043,590,0.027027027027027,"Singlet","2","2"
"HIP043.76","SeuratProject",1132,590,0,"Singlet","2","2"
"HIP043.78","SeuratProject",1258,597,0.342342342342342,"Singlet","12","12"
"HIP043.79","SeuratProject",1051,591,0.0720720720720721,"Singlet","4","4"
"HIP043.80","SeuratProject",1060,591,0,"Singlet","0","0"
"HIP043.82","SeuratProject",1511,597,0,"Singlet","2","2"
"HIP043.83","SeuratProject",998,594,0.00900900900900901,"Singlet","0","0"
"HIP043.84","SeuratProject",1013,591,0.00900900900900901,"Singlet","2","2"
"HIP043.85","SeuratProject",1045,593,0.0630630630630631,"Singlet","4","4"
"HIP043.87","SeuratProject",1020,598,0.027027027027027,"Singlet","0","0"
"HIP043.88","SeuratProject",1071,597,0.018018018018018,"Singlet","0","0"
"HIP043.89","SeuratProject",1134,600,0,"Singlet","1","1"
"HIP043.90","SeuratProject",1074,601,0.027027027027027,"Singlet","8","8"
"HIP043.92","SeuratProject",1036,584,0.018018018018018,"Singlet","4","4"
"HIP043.95","SeuratProject",1059,605,0.135135135135135,"Singlet","5","5"
"HIP043.96","SeuratProject",1061,597,0,"Singlet","0","0"
"HIP043.98","SeuratProject",1089,600,0.036036036036036,"Singlet","2","2"
"HIP043.99","SeuratProject",1042,597,0.00900900900900901,"Singlet","4","4"
"HIP043.100","SeuratProject",1087,607,0.018018018018018,"Singlet","4","4"
"HIP043.101","SeuratProject",1234,603,0,"Singlet","0","0"
"HIP043.102","SeuratProject",1010,587,0,"Singlet","0","0"
"HIP043.103","SeuratProject",1047,598,0.018018018018018,"Singlet","2","2"
"HIP043.105","SeuratProject",1003,605,0.018018018018018,"Singlet","0","0"
"HIP043.106","SeuratProject",1019,610,0.036036036036036,"Singlet","4","4"
"HIP043.107","SeuratProject",1053,600,0.018018018018018,"Singlet","0","0"
"HIP043.108","SeuratProject",1090,605,0,"Singlet","1","1"
"HIP043.110","SeuratProject",1112,604,0.0810810810810811,"Singlet","4","4"
"HIP043.111","SeuratProject",1137,609,0,"Singlet","2","2"
"HIP043.112","SeuratProject",1021,611,0.036036036036036,"Singlet","4","4"
"HIP043.113","SeuratProject",1026,613,0,"Singlet","2","2"
"HIP043.114","SeuratProject",1022,606,0.00900900900900901,"Singlet","0","0"
"HIP043.116","SeuratProject",1097,607,0.027027027027027,"Singlet","0","0"
"HIP043.117","SeuratProject",1172,604,0.0720720720720721,"Singlet","4","4"
"HIP043.118","SeuratProject",1020,605,0,"Singlet","8","8"
"HIP043.119","SeuratProject",1056,609,0,"Singlet","0","0"
"HIP043.121","SeuratProject",1007,611,0,"Singlet","2","2"
"HIP043.124","SeuratProject",1014,610,0,"Singlet","0","0"
"HIP043.125","SeuratProject",1025,606,0.00900900900900901,"Singlet","0","0"
"HIP043.126","SeuratProject",1114,605,0.036036036036036,"Singlet","4","4"
"HIP043.127","SeuratProject",1424,583,0.018018018018018,"Singlet","8","8"
"HIP043.129","SeuratProject",1121,609,0.27027027027027,"Singlet","6","6"
"HIP043.130","SeuratProject",1582,601,0.0720720720720721,"Singlet","4","4"
"HIP043.131","SeuratProject",1049,615,0.00900900900900901,"Singlet","2","2"
"HIP043.133","SeuratProject",1003,614,0.027027027027027,"Singlet","2","2"
"HIP043.134","SeuratProject",1000,611,0.27027027027027,"Singlet","11","11"
"HIP043.136","SeuratProject",1012,610,0,"Singlet","4","4"
"HIP043.137","SeuratProject",1083,605,0,"Singlet","0","0"
"HIP043.139","SeuratProject",1016,617,0,"Singlet","0","0"
"HIP043.141","SeuratProject",1067,604,0.00900900900900901,"Singlet","1","1"
"HIP043.142","SeuratProject",1100,615,0,"Singlet","0","0"
"HIP043.143","SeuratProject",1043,612,0.027027027027027,"Singlet","1","1"
"HIP043.144","SeuratProject",1105,609,0,"Singlet","1","1"
"HIP043.146","SeuratProject",1001,608,0.117117117117117,"Singlet","4","4"
"HIP043.147","SeuratProject",1071,617,0.00900900900900901,"Singlet","2","2"
"HIP043.149","SeuratProject",1033,609,0,"Singlet","2","2"
"HIP043.150","SeuratProject",1165,623,0.00900900900900901,"Singlet","4","4"
"HIP043.152","SeuratProject",1006,617,0.0540540540540541,"Singlet","4","4"
"HIP043.153","SeuratProject",1172,619,0,"Singlet","1","1"
"HIP043.154","SeuratProject",1001,623,0,"Singlet","0","0"
"HIP043.155","SeuratProject",1027,624,0.18018018018018,"Singlet","3","3"
"HIP043.156","SeuratProject",1058,617,0,"Singlet","1","1"
"HIP043.159","SeuratProject",1033,611,0.018018018018018,"Singlet","2","2"
"HIP043.161","SeuratProject",1170,598,0.0720720720720721,"Singlet","4","4"
"HIP043.162","SeuratProject",1006,624,0,"Singlet","0","0"
"HIP043.164","SeuratProject",1100,621,0.045045045045045,"Singlet","2","2"
"HIP043.166","SeuratProject",1001,623,0.018018018018018,"Singlet","2","2"
"HIP043.167","SeuratProject",1070,622,0.018018018018018,"Singlet","2","2"
"HIP043.168","SeuratProject",1002,627,0.018018018018018,"Singlet","0","0"
"HIP043.170","SeuratProject",1390,621,0.0540540540540541,"Singlet","4","4"
"HIP043.171","SeuratProject",1020,630,0.00900900900900901,"Singlet","0","0"
"HIP043.172","SeuratProject",1041,620,0,"Singlet","2","2"
"HIP043.174","SeuratProject",1070,632,0.027027027027027,"Singlet","0","0"
"HIP043.175","SeuratProject",1060,621,0.036036036036036,"Singlet","0","0"
"HIP043.178","SeuratProject",1297,620,0.0540540540540541,"Singlet","4","4"
"HIP043.180","SeuratProject",1011,617,0,"Singlet","2","2"
"HIP043.181","SeuratProject",1037,629,0,"Singlet","2","2"
"HIP043.182","SeuratProject",1046,630,0.018018018018018,"Singlet","0","0"
"HIP043.184","SeuratProject",1118,629,0.225225225225225,"Singlet","2","2"
"HIP043.187","SeuratProject",1047,624,0.00900900900900901,"Singlet","0","0"
"HIP043.189","SeuratProject",1159,617,0.018018018018018,"Singlet","4","4"
"HIP043.190","SeuratProject",1027,633,0.00900900900900901,"Singlet","0","0"
"HIP043.191","SeuratProject",1016,622,0,"Singlet","0","0"
"HIP043.194","SeuratProject",1136,618,0.00900900900900901,"Singlet","0","0"
"HIP043.195","SeuratProject",1010,631,0,"Singlet","2","2"
"HIP043.196","SeuratProject",1034,627,0.027027027027027,"Singlet","8","8"
"HIP043.197","SeuratProject",1053,631,0.018018018018018,"Singlet","2","2"
"HIP043.199","SeuratProject",1013,620,0,"Singlet","2","2"
"HIP043.200","SeuratProject",1009,616,0,"Singlet","0","0"
"HIP043.201","SeuratProject",1041,632,0.045045045045045,"Singlet","4","4"
"HIP043.202","SeuratProject",1055,637,0,"Singlet","0","0"
"HIP043.203","SeuratProject",1096,631,0,"Singlet","1","1"
"HIP043.204","SeuratProject",1070,606,0.027027027027027,"Singlet","0","0"
"HIP043.205","SeuratProject",1139,627,0.0900900900900901,"Singlet","4","4"
"HIP043.207","SeuratProject",1032,636,0,"Singlet","2","2"
"HIP043.208","SeuratProject",1047,634,0,"Singlet","0","0"
"HIP043.210","SeuratProject",1085,627,0.036036036036036,"Singlet","4","4"
"HIP043.211","SeuratProject",1113,629,0.00900900900900901,"Singlet","2","2"
"HIP043.212","SeuratProject",1108,600,0,"Singlet","0","0"
"HIP043.213","SeuratProject",1162,636,0.027027027027027,"Singlet","1","1"
"HIP043.214","SeuratProject",1022,641,0.018018018018018,"Singlet","2","2"
"HIP043.215","SeuratProject",1053,636,0,"Singlet","2","2"
"HIP043.217","SeuratProject",1004,634,0,"Singlet","2","2"
"HIP043.218","SeuratProject",1038,639,0,"Singlet","0","0"
"HIP043.219","SeuratProject",1020,621,0.00900900900900901,"Singlet","0","0"
"HIP043.220","SeuratProject",1046,624,0,"Singlet","2","2"
"HIP043.222","SeuratProject",1153,637,0.036036036036036,"Singlet","4","4"
"HIP043.223","SeuratProject",1283,639,0.0990990990990991,"Singlet","3","3"
"HIP043.224","SeuratProject",1005,628,0,"Singlet","2","2"
"HIP043.225","SeuratProject",1016,633,0,"Singlet","0","0"
"HIP043.227","SeuratProject",1195,629,0,"Singlet","2","2"
"HIP043.228","SeuratProject",1237,638,0.0540540540540541,"Singlet","4","4"
"HIP043.229","SeuratProject",1004,637,0,"Singlet","2","2"
"HIP043.230","SeuratProject",1012,631,0.0540540540540541,"Singlet","0","0"
"HIP043.231","SeuratProject",1011,626,0.00900900900900901,"Singlet","0","0"
"HIP043.232","SeuratProject",1179,630,0.126126126126126,"Singlet","3","3"
"HIP043.233","SeuratProject",1019,639,0.027027027027027,"Singlet","2","2"
"HIP043.235","SeuratProject",1030,631,0.027027027027027,"Singlet","2","2"
"HIP043.236","SeuratProject",1044,630,0,"Singlet","0","0"
"HIP043.237","SeuratProject",1061,637,0.018018018018018,"Singlet","2","2"
"HIP043.238","SeuratProject",1095,636,0.045045045045045,"Singlet","6","6"
"HIP043.239","SeuratProject",1158,626,0.0990990990990991,"Singlet","4","4"
"HIP043.240","SeuratProject",1022,621,0,"Singlet","2","2"
"HIP043.242","SeuratProject",1505,636,0,"Singlet","2","2"
"HIP043.243","SeuratProject",1011,640,0,"Singlet","2","2"
"HIP043.244","SeuratProject",1194,635,0.018018018018018,"Singlet","0","0"
"HIP043.246","SeuratProject",1037,647,0.00900900900900901,"Singlet","2","2"
"HIP043.247","SeuratProject",1038,633,0.036036036036036,"Singlet","0","0"
"HIP043.248","SeuratProject",1056,637,0.00900900900900901,"Singlet","2","2"
"HIP043.249","SeuratProject",1080,644,0,"Singlet","2","2"
"HIP043.250","SeuratProject",1086,639,0.045045045045045,"Singlet","8","8"
"HIP043.251","SeuratProject",1190,639,0,"Singlet","2","2"
"HIP043.253","SeuratProject",1016,640,0.00900900900900901,"Singlet","0","0"
"HIP043.254","SeuratProject",1056,626,0,"Singlet","0","0"
"HIP043.255","SeuratProject",1069,643,0.018018018018018,"Singlet","0","0"
"HIP043.256","SeuratProject",1084,632,0.0630630630630631,"Singlet","4","4"
"HIP043.257","SeuratProject",1036,650,0.00900900900900901,"Singlet","2","2"
"HIP043.258","SeuratProject",1035,644,0.00900900900900901,"Singlet","2","2"
"HIP043.259","SeuratProject",1046,637,0.036036036036036,"Singlet","2","2"
"HIP043.260","SeuratProject",1089,629,0.00900900900900901,"Singlet","0","0"
"HIP043.261","SeuratProject",1150,641,0.00900900900900901,"Singlet","2","2"
"HIP043.262","SeuratProject",1149,632,0.00900900900900901,"Singlet","2","2"
"HIP043.264","SeuratProject",1078,640,0.00900900900900901,"Singlet","2","2"
"HIP043.265","SeuratProject",1112,645,0.00900900900900901,"Singlet","2","2"
"HIP043.266","SeuratProject",1105,638,0.036036036036036,"Singlet","4","4"
"HIP043.268","SeuratProject",1018,647,0,"Singlet","0","0"
"HIP043.269","SeuratProject",1023,643,0.00900900900900901,"Singlet","0","0"
"HIP043.270","SeuratProject",1028,646,0,"Singlet","2","2"
"HIP043.271","SeuratProject",1021,637,0.00900900900900901,"Singlet","0","0"
"HIP043.272","SeuratProject",1033,646,0,"Singlet","0","0"
"HIP043.273","SeuratProject",1040,640,0.027027027027027,"Singlet","4","4"
"HIP043.274","SeuratProject",1172,645,0.018018018018018,"Singlet","1","1"
"HIP043.276","SeuratProject",1218,645,0.045045045045045,"Singlet","4","4"
"HIP043.277","SeuratProject",1080,640,0,"Singlet","0","0"
"HIP043.278","SeuratProject",1086,645,0.00900900900900901,"Singlet","2","2"
"HIP043.279","SeuratProject",1091,645,0.018018018018018,"Singlet","2","2"
"HIP043.280","SeuratProject",1115,638,0.018018018018018,"Singlet","4","4"
"HIP043.282","SeuratProject",1148,644,0.045045045045045,"Singlet","4","4"
"HIP043.283","SeuratProject",1163,640,0,"Singlet","0","0"
"HIP043.285","SeuratProject",1100,648,0.018018018018018,"Singlet","0","0"
"HIP043.286","SeuratProject",1114,644,0.00900900900900901,"Singlet","0","0"
"HIP043.289","SeuratProject",1023,652,0,"Singlet","2","2"
"HIP043.290","SeuratProject",1028,647,0.00900900900900901,"Singlet","0","0"
"HIP043.291","SeuratProject",1094,650,0.00900900900900901,"Singlet","0","0"
"HIP043.294","SeuratProject",1181,642,0.126126126126126,"Singlet","2","2"
"HIP043.295","SeuratProject",1054,641,0.018018018018018,"Singlet","2","2"
"HIP043.296","SeuratProject",1118,634,0.018018018018018,"Singlet","0","0"
"HIP043.297","SeuratProject",1166,637,0.018018018018018,"Singlet","0","0"
"HIP043.298","SeuratProject",1015,651,0.00900900900900901,"Singlet","2","2"
"HIP043.299","SeuratProject",1056,648,0.00900900900900901,"Singlet","0","0"
"HIP043.300","SeuratProject",1047,633,0,"Singlet","0","0"
"HIP043.301","SeuratProject",1089,652,0.018018018018018,"Singlet","2","2"
"HIP043.302","SeuratProject",1088,647,0,"Singlet","2","2"
"HIP043.303","SeuratProject",1119,654,0.0540540540540541,"Singlet","2","2"
"HIP043.304","SeuratProject",1111,643,0.027027027027027,"Singlet","0","0"
"HIP043.305","SeuratProject",1141,641,0.00900900900900901,"Singlet","2","2"
"HIP043.306","SeuratProject",1150,646,0.00900900900900901,"Singlet","0","0"
"HIP043.307","SeuratProject",1146,645,0.00900900900900901,"Singlet","0","0"
"HIP043.309","SeuratProject",1231,646,0.00900900900900901,"Singlet","0","0"
"HIP043.310","SeuratProject",1249,640,0.00900900900900901,"Singlet","0","0"
"HIP043.311","SeuratProject",1064,647,0,"Singlet","0","0"
"HIP043.312","SeuratProject",1076,651,0,"Singlet","2","2"
"HIP043.313","SeuratProject",1060,632,0,"Singlet","0","0"
"HIP043.314","SeuratProject",1237,647,0,"Singlet","2","2"
"HIP043.315","SeuratProject",1055,650,0.00900900900900901,"Singlet","8","8"
"HIP043.317","SeuratProject",1099,652,0,"Singlet","0","0"
"HIP043.318","SeuratProject",1103,654,0.00900900900900901,"Singlet","2","2"
"HIP043.319","SeuratProject",1143,646,0.027027027027027,"Singlet","2","2"
"HIP043.321","SeuratProject",1236,638,0,"Singlet","1","1"
"HIP043.322","SeuratProject",1251,643,0.045045045045045,"Singlet","4","4"
"HIP043.323","SeuratProject",1029,652,0.00900900900900901,"Singlet","2","2"
"HIP043.324","SeuratProject",1041,655,0.00900900900900901,"Singlet","2","2"
"HIP043.326","SeuratProject",1055,655,0.135135135135135,"Singlet","6","6"
"HIP043.327","SeuratProject",1048,650,0.027027027027027,"Singlet","0","0"
"HIP043.328","SeuratProject",1090,645,0.00900900900900901,"Singlet","2","2"
"HIP043.329","SeuratProject",1020,652,0.018018018018018,"Singlet","0","0"
"HIP043.330","SeuratProject",1024,645,0.00900900900900901,"Singlet","0","0"
"HIP043.331","SeuratProject",1076,654,0.027027027027027,"Singlet","2","2"
"HIP043.332","SeuratProject",1094,650,0.0630630630630631,"Singlet","4","4"
"HIP043.333","SeuratProject",1100,647,0.00900900900900901,"Singlet","1","1"
"HIP043.337","SeuratProject",1016,654,0.00900900900900901,"Singlet","0","0"
"HIP043.338","SeuratProject",1044,657,0.027027027027027,"Singlet","0","0"
"HIP043.339","SeuratProject",1087,653,0.0990990990990991,"Singlet","4","4"
"HIP043.340","SeuratProject",1089,653,0.0720720720720721,"Singlet","1","1"
"HIP043.341","SeuratProject",1087,657,0.0900900900900901,"Singlet","4","4"
"HIP043.342","SeuratProject",1148,661,0.018018018018018,"Singlet","1","1"
"HIP043.345","SeuratProject",1115,652,0,"Singlet","0","0"
"HIP043.346","SeuratProject",1133,659,0,"Singlet","2","2"
"HIP043.348","SeuratProject",1168,652,0.00900900900900901,"Singlet","1","1"
"HIP043.350","SeuratProject",1014,653,0.0540540540540541,"Singlet","2","2"
"HIP043.351","SeuratProject",1041,656,0,"Singlet","2","2"
"HIP043.352","SeuratProject",1047,656,0,"Singlet","2","2"
"HIP043.353","SeuratProject",1017,658,0.018018018018018,"Singlet","0","0"
"HIP043.354","SeuratProject",1030,660,0.00900900900900901,"Singlet","2","2"
"HIP043.355","SeuratProject",1054,644,0.0990990990990991,"Singlet","4","4"
"HIP043.356","SeuratProject",1063,656,0,"Singlet","2","2"
"HIP043.357","SeuratProject",1071,659,0,"Singlet","0","0"
"HIP043.358","SeuratProject",1090,656,0.00900900900900901,"Singlet","2","2"
"HIP043.359","SeuratProject",1108,658,0,"Singlet","2","2"
"HIP043.360","SeuratProject",1023,660,0,"Singlet","2","2"
"HIP043.361","SeuratProject",1017,648,0,"Singlet","0","0"
"HIP043.363","SeuratProject",1302,655,0,"Singlet","8","8"
"HIP043.364","SeuratProject",1304,647,0.045045045045045,"Singlet","4","4"
"HIP043.365","SeuratProject",1031,654,0,"Singlet","0","0"
"HIP043.366","SeuratProject",1061,661,0.00900900900900901,"Singlet","0","0"
"HIP043.367","SeuratProject",1114,642,0,"Singlet","2","2"
"HIP043.368","SeuratProject",1038,659,0.00900900900900901,"Singlet","2","2"
"HIP043.369","SeuratProject",1062,665,0,"Singlet","0","0"
"HIP043.370","SeuratProject",1080,657,0.027027027027027,"Singlet","0","0"
"HIP043.371","SeuratProject",1093,664,0.036036036036036,"Singlet","2","2"
"HIP043.372","SeuratProject",1159,660,0.0720720720720721,"Singlet","4","4"
"HIP043.373","SeuratProject",1004,656,0.027027027027027,"Singlet","0","0"
"HIP043.374","SeuratProject",1026,656,0,"Singlet","2","2"
"HIP043.375","SeuratProject",1049,662,0.00900900900900901,"Singlet","2","2"
"HIP043.376","SeuratProject",1084,652,0.00900900900900901,"Singlet","2","2"
"HIP043.377","SeuratProject",1112,655,0.00900900900900901,"Singlet","1","1"
"HIP043.378","SeuratProject",1128,657,0,"Singlet","2","2"
"HIP043.379","SeuratProject",1122,655,0.00900900900900901,"Singlet","0","0"
"HIP043.380","SeuratProject",1131,643,0.036036036036036,"Singlet","4","4"
"HIP043.382","SeuratProject",1158,654,0,"Singlet","1","1"
"HIP043.383","SeuratProject",1261,655,0.00900900900900901,"Singlet","2","2"
"HIP043.384","SeuratProject",1015,667,0.018018018018018,"Singlet","2","2"
"HIP043.385","SeuratProject",1059,654,0.00900900900900901,"Singlet","2","2"
"HIP043.386","SeuratProject",1137,649,0.036036036036036,"Singlet","2","2"
"HIP043.387","SeuratProject",1140,646,0.00900900900900901,"Singlet","0","0"
"HIP043.388","SeuratProject",1174,661,0.198198198198198,"Singlet","1","1"
"HIP043.389","SeuratProject",1177,660,0.00900900900900901,"Singlet","2","2"
"HIP043.390","SeuratProject",1219,661,0,"Singlet","0","0"
"HIP043.391","SeuratProject",1223,658,0.00900900900900901,"Singlet","2","2"
"HIP043.392","SeuratProject",1013,664,0.045045045045045,"Singlet","0","0"
"HIP043.393","SeuratProject",1034,658,0,"Singlet","0","0"
"HIP043.394","SeuratProject",1066,658,0.018018018018018,"Singlet","8","8"
